date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,cluster
2018-03-05,253.0,225.08,194.83,187.67,178.5,177.67,149.67,165.67,239.67,192.67,178.0,183.67,198.33,185.33,158.67,169.33,181.0,234.33,302.42,344.67,342.0,370.33,382.67,334.0,2
2018-03-06,308.33,243.83,222.87,196.0,214.33,186.0,185.0,196.33,254.0,183.83,179.17,172.33,181.83,185.83,198.33,193.0,206.67,233.33,325.33,352.17,349.33,406.92,389.67,383.67,2
2018-03-07,319.5,261.83,223.0,221.5,203.5,194.67,193.5,204.67,213.33,188.5,180.0,169.0,187.0,223.5,207.0,194.33,206.5,245.0,294.67,308.67,318.33,385.0,370.17,340.33,2
2018-03-08,320.5,249.0,210.33,215.83,210.67,184.33,194.67,189.33,256.83,225.0,186.67,187.17,175.0,226.67,207.83,203.17,219.42,249.67,307.33,311.67,369.5,393.5,410.0,402.67,2
2018-03-09,336.33,269.33,251.67,223.67,217.0,210.17,210.67,193.67,231.67,234.0,208.83,175.67,212.0,200.17,209.67,232.17,197.0,200.75,285.0,314.33,346.0,384.33,378.17,357.67,2
2018-03-10,311.33,269.33,233.33,208.67,212.83,197.0,185.67,182.67,191.33,195.33,208.83,222.0,214.67,237.5,206.33,237.33,226.0,249.5,282.5,324.33,332.83,324.17,372.0,349.67,2
2018-03-11,321.0,282.0,216.0,225.33,218.83,194.33,201.67,171.33,180.67,208.33,214.67,201.0,245.67,259.67,244.5,238.67,221.67,232.33,302.67,307.67,331.83,396.0,357.83,333.0,2
2018-03-12,311.17,263.75,238.33,201.5,192.83,189.0,178.33,189.0,215.67,187.0,170.17,178.5,220.5,197.92,169.0,162.33,169.33,169.33,169.33,169.33,169.33,169.33,169.33,169.33,2
2018-03-13,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,188.0,259.67,283.67,295.5,318.0,322.33,300.83,2
2018-03-14,252.33,206.0,195.33,176.5,176.33,178.33,162.33,165.33,181.83,198.33,186.33,159.67,166.33,198.17,198.0,170.0,190.0,194.67,251.67,306.33,285.67,287.67,306.0,266.67,2
2018-03-15,253.33,213.67,182.0,191.17,178.67,174.0,149.83,165.5,195.0,199.0,161.67,183.5,163.83,182.33,189.83,178.33,155.67,176.83,280.0,295.33,332.67,293.67,301.0,313.5,2
2018-03-16,255.08,214.0,197.67,185.0,192.33,188.67,173.0,176.93,192.87,178.6,179.67,176.33,188.33,199.67,201.33,198.0,179.0,184.0,277.75,285.0,293.33,284.67,320.0,312.0,2
2018-03-17,267.0,230.67,195.5,177.67,177.17,186.0,150.83,181.83,191.48,177.67,188.0,190.67,234.67,232.0,214.0,203.5,202.83,214.67,286.83,310.67,317.67,311.33,306.41499999999996,301.5,2
2018-03-18,280.5,227.17,213.0,197.0,190.83,178.33,165.0,178.07,207.67,174.33,189.0,193.67,240.0,245.0,239.0,228.67,214.33,214.0,285.67,315.0,329.0,347.67,337.0,303.33,2
2018-03-19,271.0,229.33,195.92,187.0,189.33,183.0,176.33,190.0,217.33,203.33,179.67,168.67,188.0,195.0,173.83,209.33,195.03,201.33,290.67,334.17,344.0,375.33,373.67,323.0,2
2018-03-20,289.33,208.33,194.67,183.0,168.0,173.33,153.67,176.67,207.83,187.33,190.67,178.67,226.33,189.67,207.0,196.67,203.08,238.33,308.67,348.67,350.0,385.0,400.67,423.33,2
2018-03-21,339.5,284.83,241.5,230.08,216.67,217.33,198.33,216.58,230.5,230.5,210.67,179.33,210.67,240.0,235.33,218.33,252.67,248.0,319.67,347.58,361.58,394.0,411.67,361.67,2
2018-03-22,327.33,265.0,234.5,220.92,218.08,210.0,191.0,210.17,217.33,203.83,206.67,198.0,209.67,202.0,174.17,187.33,176.5,192.0,268.0,299.33,341.5,374.33,363.67,361.17,2
2018-03-23,329.0,251.0,224.25,204.42,207.08,197.67,196.0,225.33,226.75,223.67,189.33,178.33,189.33,193.67,210.33,193.33,172.33,165.67,282.0,290.67,294.67,328.0,315.0,308.67,2
2018-03-24,269.33,237.33,208.67,190.0,185.0,179.83,161.5,187.5,191.17,210.0,188.17,195.17,226.0,213.5,197.0,193.67,185.0,189.33,233.0,288.0,284.33,314.0,315.33,290.67,2
2018-03-25,278.33,244.0,193.33,172.33,170.58,165.0,151.33,156.5,169.5,173.0,212.0,185.92,193.33,191.83,205.0,185.17,178.5,216.67,252.17,294.17,304.33,327.0,329.0,297.83,2
2018-03-26,240.83,205.67,191.83,175.0,168.33,161.33,166.33,162.83,192.33,174.83,161.33,161.83,205.67,190.17,172.83,182.67,177.5,177.5,243.5,295.33,303.83,290.33,311.83,283.33,2
2018-03-27,252.33,220.5,188.67,172.33,170.75,155.0,157.0,166.33,197.0,197.0,170.33,162.25,156.0,158.0,184.33,156.17,174.0,164.33,223.33,264.33,275.33,293.83,337.67,260.33,2
2018-03-28,244.0,207.33,183.67,171.33,170.64,169.67,178.0,187.67,176.5,182.5,158.17,156.5,172.0,185.0,164.33,167.08,172.67,194.5,236.0,272.5,287.67,287.33,319.5,258.17,2
2018-03-29,239.67,204.0,195.67,178.0,176.0,172.67,162.0,166.17,188.83,164.17,164.17,149.67,157.0,164.0,184.67,156.67,162.67,185.67,208.0,294.0,274.67,280.58,287.17,253.0,2
2018-03-30,241.33,209.08,191.33,182.83,179.5,183.33,160.67,148.67,169.08,160.0,170.67,179.0,174.67,170.67,176.33,177.67,187.67,187.67,213.67,277.33,288.67,270.33,278.83,253.33,2
2018-03-31,249.33,212.5,182.0,176.5,169.14,164.67,161.33,156.5,163.33,172.33,188.5,200.17,191.5,197.5,189.83,187.33,201.67,189.67,239.33,265.5,302.33,261.67,277.67,267.67,2
2018-04-01,230.17,204.83,179.5,185.38,161.33,151.33,139.33,150.0,148.33,162.67,180.67,192.67,203.0,201.17,192.33,185.33,194.0,199.33,248.5,284.33,300.67,293.67,295.0,274.0,2
2018-04-02,234.67,229.83,180.0,174.0,167.33,176.0,143.5,161.17,183.0,159.17,165.67,168.5,175.0,181.33,179.83,166.83,175.5,192.83,231.67,298.83,298.5,315.17,309.5,274.83,2
2018-04-03,255.0,226.67,186.0,179.33,166.33,176.33,165.33,164.17,198.67,170.33,160.0,172.0,168.33,174.67,178.33,189.67,184.33,180.0,245.33,261.0,301.67,292.67,309.67,261.83,2
2018-04-04,241.83,237.33,200.0,181.0,174.5,177.17,147.0,166.58,174.67,199.67,164.5,158.83,179.67,177.33,171.83,188.5,189.43,197.0,238.83,293.0,294.5,269.0,273.5,257.33,2
2018-04-05,244.0,202.67,170.33,174.83,168.0,163.67,141.83,154.17,168.5,166.67,180.67,191.83,176.33,206.17,216.33,205.67,194.5,216.17,241.67,276.5,270.83,277.0,285.17,240.67,2
2018-04-06,253.42,222.33,184.0,186.0,168.17,160.83,152.0,158.17,161.17,159.83,171.33,183.83,188.67,167.33,168.33,169.17,186.0,184.17,223.17,255.33,269.83,294.17,286.33,271.33,2
2018-04-07,236.0,205.67,198.33,174.17,177.75,160.83,153.0,148.83,152.5,188.17,193.17,167.33,208.5,188.33,219.0,210.0,197.67,194.33,249.83,302.0,288.17,301.33,299.5,273.33,2
2018-04-08,260.83,237.5,203.33,187.67,178.17,174.5,147.0,186.67,169.0,179.67,178.33,195.0,187.67,206.5,170.17,184.0,193.0,182.0,230.67,331.0,309.67,330.0,324.67,301.67,2
2018-04-09,267.0,222.5,208.0,216.5,180.5,168.33,153.0,166.5,186.67,167.5,174.0,165.33,161.83,163.83,166.5,180.83,170.33,192.08,232.0,315.33,289.0,285.83,297.33,274.5,2
2018-04-10,228.67,219.0,188.0,177.62,170.67,156.33,139.5,162.33,172.83,183.83,172.83,180.67,160.83,165.5,163.83,167.0,182.33,195.5,223.0,261.17,287.5,272.83,307.67,248.0,2
2018-04-11,247.83,202.33,191.0,179.83,163.83,160.0,145.0,169.0,178.67,161.33,154.5,171.33,181.67,189.67,170.33,167.0,167.17,175.0,247.0,305.0,276.0,296.33,295.33,250.67,2
2018-04-12,233.67,193.33,172.33,170.33,160.0,167.33,142.67,160.0,163.5,161.83,143.83,152.83,173.5,181.0,153.17,163.83,190.0,198.5,234.0,284.33,310.5,269.33,295.42,253.83,2
2018-04-13,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,238.5,2
2018-04-14,230.33,209.0,202.67,177.33,169.83,176.67,142.83,147.0,152.33,146.5,184.83,198.67,200.83,197.17,197.5,212.0,229.33,235.83,247.0,265.17,300.0,306.75,284.67,259.33,2
2018-04-15,244.17,217.33,187.83,175.33,169.0,171.0,161.17,160.83,178.83,159.33,170.0,184.83,212.17,194.67,193.83,199.0,196.33,197.67,236.83,275.17,288.5,311.5,329.5,313.67,2
2018-04-16,242.5,218.67,217.5,175.71,166.83,157.33,143.0,170.33,174.33,169.33,169.33,169.67,172.0,172.0,160.83,192.17,166.67,182.33,242.67,323.42,308.33,334.0,324.0,313.0,2
2018-04-17,265.33,251.0,194.33,174.17,178.67,164.33,151.67,180.17,181.67,174.33,158.75,204.67,179.67,186.83,164.0,180.67,157.0,166.67,214.33,291.67,277.33,315.33,334.0,301.83,2
2018-04-18,254.42,247.0,191.45,170.33,177.33,175.33,145.0,165.67,200.0,185.0,178.5,164.67,173.0,172.33,165.0,170.0,186.67,193.0,242.33,305.67,310.83,334.0,358.83,281.67,2
2018-04-19,264.5,258.75533333333334,253.01066666666668,247.266,241.52133333333333,235.77666666666667,230.032,224.28733333333335,218.54266666666666,212.798,207.05333333333334,201.30866666666668,195.56400000000002,189.81933333333336,184.07466666666667,178.33,162.5,164.33,197.0,298.67,287.67,295.33,297.67,269.33,2
2018-04-20,242.0,219.0,210.0,175.5,167.33,156.33,144.33,159.0,168.0,165.67,160.0,169.0,185.17,165.5,175.67,174.08,175.17,176.5,229.67,272.0,275.83,271.0,295.25,254.67,2
2018-04-21,231.33,214.33,185.67,171.83,173.33,164.17,149.0,151.0,162.17,174.5,169.5,178.0,188.33,222.33,191.0,204.33,185.5,216.83,244.17,280.33,265.83,276.67,286.33,271.0,2
2018-04-22,230.0,224.17,187.33,190.0,174.67,164.33,149.5,145.33,172.5,170.0,205.33,196.0,207.0,216.0,214.33,222.83,220.67,229.5,249.42,300.67,296.67,321.67,348.0,302.67,2
2018-04-23,260.67,235.33,208.5,193.17,190.67,177.33,188.5,194.83,222.17,193.67,174.0,183.83,184.75,191.67,186.67,208.83,192.33,239.0,249.67,286.17,288.5,323.67,312.33,291.0,2
2018-04-24,253.5,213.33,187.67,177.33,182.67,173.17,184.67,171.33,197.33,198.67,173.67,183.67,163.67,186.0,162.67,181.33,174.0,205.33,254.83,278.0,291.33,294.67,341.67,288.17,2
2018-04-25,260.0,208.67,209.0,174.33,172.67,160.0,148.67,176.17,175.67,202.33,185.0,174.67,186.02,209.0,186.25,185.0,200.0,194.67,237.0,263.0,280.0,282.67,319.33,263.67,2
2018-04-26,250.17,200.67,192.67,179.53,178.83,163.67,156.33,153.5,186.33,173.75,157.33,168.0,191.67,179.33,177.33,161.33,167.33,181.33,233.33,275.33,292.0,299.0,278.33,263.67,2
2018-04-27,237.0,226.33,184.67,181.67,177.17,179.33,164.67,166.67,173.83,186.67,151.0,167.67,178.17,182.33,185.67,178.0,180.5,182.33,223.33,285.67,283.5,284.0,284.33,257.33,2
2018-04-28,244.67,190.33,197.0,185.27,176.33,166.33,153.17,177.67,179.0,164.33,166.0,169.0,201.08,186.67,187.67,204.0,175.67,208.67,218.5,254.0,287.0,263.83,303.5,252.0,2
2018-04-29,237.42,212.67,198.0,176.67,169.33,164.67,148.0,164.33,159.5,182.67,168.0,199.33,205.0,197.0,201.83,184.33,182.5,222.33,233.33,281.33,258.0,263.0,297.33,243.67,2
2018-04-30,223.0,215.0,199.33,188.42,188.42,180.83,163.42,161.5,178.83,181.67,178.33,195.67,195.0,204.83,193.0,183.0,179.5,193.17,235.0,277.67,274.76,271.17,281.33,253.67,2
2018-05-01,241.0,226.67,203.67,207.67,204.75,185.25,174.0,168.67,179.17,186.67,189.67,191.83,220.33,224.0,221.0,218.33,208.33,207.67,238.33,295.67,289.33,290.33,294.0,272.33,2
2018-05-02,259.5,235.33,221.67,229.67,217.0,194.0,187.17,184.67,194.67,183.25,183.0,197.67,193.67,184.33,196.67,178.33,189.33,182.0,224.83,273.83,281.83,293.0,271.5,273.33,2
2018-05-03,238.33,212.83,192.67,189.0,197.0,182.33,152.83,171.33,170.67,192.0,163.43,186.33,158.67,196.0,176.67,164.83,170.42,166.67,215.83,299.0,279.33,269.33,263.33,254.33,2
2018-05-04,231.67,209.67,193.67,184.33,172.67,168.67,165.67,184.67,171.0,187.0,189.33,166.67,203.33,174.0,184.33,178.83,167.67,181.67,207.0,247.0,263.0,255.5,276.33,248.67,2
2018-05-05,232.5,216.0,208.0,177.67,185.08,176.0,157.67,167.0,179.0,183.67,180.0,202.5,182.0,197.33,190.0,195.17,196.17,246.33,220.67,272.5,298.67,274.5,297.83,250.33,2
2018-05-06,252.67,216.33,197.58,201.33,186.67,172.83,159.67,159.67,162.67,190.17,193.0,197.67,208.67,232.0,222.67,207.17,195.67,220.67,240.5,285.0,306.33,300.33,308.67,285.0,2
2018-05-07,275.83,241.67,219.33,211.5,210.33,198.67,169.5,171.33,184.0,160.17,173.33,166.5,168.67,174.17,185.0,172.17,192.0,189.33,228.0,272.67,275.0,286.0,315.33,269.33,2
2018-05-08,235.0,207.17,185.33,178.0,171.67,167.0,147.83,172.67,185.87,162.83,158.67,153.0,183.0,180.67,147.33,176.0,174.33,192.0,233.67,256.0,300.67,270.0,288.0,260.33,2
