date,total_load,peak_load,valley_load,load_range,load_std,time_of_peak,time_of_valley,morning_load,afternoon_load,day_of_week,is_weekend
2025-03-12,26554.320000000014,755.52,92.48,663.04,213.92688366773706,06:30:00,22:30:00,17372.160000000003,9182.160000000002,2,False
2025-03-13,25053.04,765.92,54.96,710.9599999999999,211.25581331729282,06:00:00,22:30:00,17846.72,7206.319999999998,3,False
2025-03-14,17741.68,491.36,52.88,438.48,142.26500135249205,06:30:00,22:00:00,11639.6,6102.08,4,False
2025-03-15,5331.680000000001,69.6,44.88,24.71999999999999,6.197017732097415,23:30:00,12:00:00,2657.7599999999993,2673.9200000000005,5,True
2025-03-16,13071.439999999999,284.4,67.04,217.35999999999996,74.39671344844358,05:30:00,15:45:00,8332.72,4738.72,6,True
2025-03-17,27137.20000000001,849.84,70.48,779.36,233.65318846379617,07:00:00,21:45:00,19173.120000000003,7964.079999999999,0,False
2025-03-18,23579.519999999993,796.24,53.36,742.88,214.02596816372784,06:30:00,22:00:00,16776.719999999998,6802.799999999998,1,False
2025-03-19,18528.239999999998,591.44,53.12,538.32,160.4725530950452,07:00:00,23:30:00,12344.48,6183.759999999998,2,False
2025-03-20,18255.92,441.76,55.68,386.08,131.99849708607468,06:45:00,01:30:00,10804.320000000002,7451.6,3,False
2025-03-21,16024.719999999996,305.76,50.56,255.2,100.47139478391131,11:30:00,00:15:00,8886.08,7138.640000000001,4,False
2025-03-22,5255.120000000001,68.56,43.68,24.880000000000003,4.789268632587623,05:45:00,15:30:00,2685.9999999999995,2569.12,5,True
2025-03-23,9799.120000000003,228.8,49.2,179.60000000000002,62.21501026646337,07:15:00,16:00:00,6462.8,3336.32,6,True
2025-03-24,18009.600000000002,480.72,58.16,422.56000000000006,140.90668589717922,07:15:00,01:15:00,11403.12,6606.48,0,False
2025-03-25,16663.36,455.2,52.24,402.96,129.40318930964867,08:00:00,01:45:00,10619.04,6044.320000000001,1,False
2025-03-26,17618.160000000003,491.68,51.36,440.32,142.68268497466312,06:00:00,23:30:00,11494.320000000002,6123.839999999999,2,False
